Step,Tactic,Technique ID,Technique Name,Platform,Detection Criteria,Category,Calibration Reason,ACW,Red Team Activity,Hosts,Users,Summary
Step 3 - Credential Access: LSASS Reflection Dump,Command and Control,T1105,Ingress Tool Transfer,Windows,node.exe (IIS APPPOOL\react.testlab.local) writes compressed archive to C:\Windows\Temp\wdhelper.gz on react.testlab.local,Not Calibrated - Not Benign,transport,High,"`stage` reads `wdhelper.gz` locally, base64-encodes in Python memory, streams 2,000-char chunks into `global.__stageBuffer` on target via eval, flushes decoded gzip bytes in one `Buffer.from(__stageBuffer,'base64')` write — no child process spawned, no `.b64` on disk",react.testlab.local,IIS APPPOOL\react.testlab.local,Stage wdhelper.gz compressed archive via eval channel
Step 3 - Credential Access: LSASS Reflection Dump,Defense Evasion,T1027.015,Obfuscated Files or Information: Compression,Windows,node.exe (IIS APPPOOL\react.testlab.local) decompresses C:\Windows\Temp\wdhelper.gz and writes PE binary to C:\Windows\Temp\wdhelper.bin on react.testlab.local,Calibrated - Not Benign,-,Medium,"react2shell `decompress` command decompresses gzip-compressed payload using built-in Node.js `zlib` module; compression reduces transfer size by ~62% and avoids raw PE structure in transit; decompression occurs via eval-based `fs.writeFileSync(out, zlib.gunzipSync(fs.readFileSync(in)))`",react.testlab.local,IIS APPPOOL\react.testlab.local,Decompress wdhelper.gz to wdhelper.bin via in-process Node.js zlib.gunzipSync
Step 3 - Credential Access: LSASS Reflection Dump,Discovery,T1057,Process Discovery,Windows,"wdhelper.exe (child of RuntimeBroker.exe ghost, NT AUTHORITY\SYSTEM) opens PROCESS_QUERY_LIMITED_INFORMATION (GrantedAccess=0x1000) handles on each running PID via psapi!EnumProcesses on react.testlab.local",Calibrated - Not Benign,-,High,`wdhelper.exe` enumerates all running PIDs via `psapi!EnumProcesses` + `kernel32!QueryFullProcessImageNameW` to locate `lsass.exe` — avoids `CreateToolhelp32Snapshot` (Toolhelp) to reduce tradecraft signal,react.testlab.local,NT AUTHORITY\SYSTEM,wdhelper.exe enumerates PIDs via psapi!EnumProcesses to locate lsass.exe
Step 3 - Credential Access: LSASS Reflection Dump,Execution,T1106,Native API,Windows,wdhelper.exe opens handle to lsass.exe with GrantedAccess=0x4FA and invokes RtlCreateProcessReflection (runtime-resolved from ntdll.dll) on react.testlab.local,Calibrated - Not Benign,-,Critical,ReflectDump leverages undocumented ntdll.dll export `RtlCreateProcessReflection` to fork LSASS; LSASS handle uses `REFLECT_ACCESS` (~0x4FA — minimum mask the API requires) instead of `PROCESS_ALL_ACCESS`; reflection clone handle is reused from the API's output (no second `OpenProcess` on the clone PID),react.testlab.local,NT AUTHORITY\SYSTEM,Open LSASS handle with REFLECT_ACCESS and fork via RtlCreateProcessReflection
Step 3 - Credential Access: LSASS Reflection Dump,Credential Access,T1003.001,OS Credential Dumping: LSASS Memory,Windows,wdhelper.exe dumps lsass.exe reflection via MiniDumpWriteDump and writes encrypted minidump to C:\Windows\Temp\DFxxxx.tmp (randomized suffix per run) on react.testlab.local,Calibrated - Not Benign,-,Critical,"ReflectDump forks LSASS via `RtlCreateProcessReflection`, dumps the fork via `MiniDumpWriteDump` with `IoWriteAllCallback` into a 75 MB heap buffer, encrypts the buffer in place with a linear position-dependent XOR (`(0xA3 + i*0x5B) & 0xFF`), then flushes to a randomised temp path resolved via `GetTempPathW` + `GetTempFileNameW(L""DF"")`; reflection terminated through its existing handle after dump",react.testlab.local,NT AUTHORITY\SYSTEM,MiniDumpWriteDump on LSASS reflection clone; XOR-encrypt 75 MB dump before write
Step 3 - Credential Access: LSASS Reflection Dump,Defense Evasion,T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,Windows,"N/A — C2: XOR key (0xA3 + i*0x5B) & 0xFF is payload-specific; no generalizable file-header pattern exists without prior knowledge of the key; any YARA rule targeting the encrypted output is IOC-level, not a behavioral detection",Not Calibrated - Not Benign,C2,Low,ReflectDump XOR-encrypts the entire 75 MB dump buffer in place via `XorEncode` with linear position-dependent key `p[i] ^= (0xA3 + i*0x5B) & 0xFF` before `WriteFile`; same scheme shared with `NtdsRawDump` and `CWLHerpaderping` in this plan (single Python decoder for the family),react.testlab.local,NT AUTHORITY\SYSTEM,XOR-encrypt minidump buffer in place with position-dependent key before file write
Step 3 - Credential Access: LSASS Reflection Dump,Defense Evasion,T1027.007,Obfuscated Files or Information: Dynamic API Resolution,Windows,"wdhelper.exe static IAT lists only kernel32, ntdll, advapi32, psapi; loads dbghelp.dll at runtime via LoadLibraryA and resolves MiniDumpWriteDump via GetProcAddress on react.testlab.local",Calibrated - Not Benign,-,Low,"ReflectDump resolves `MiniDumpWriteDump` at runtime via `LoadLibraryA(""dbghelp.dll"")` + `GetProcAddress(""MiniDumpWriteDump"")` — removing the static IAT entry that would flag the binary as a credential-dump tool; `RtlCreateProcessReflection` and the LSASS target name are likewise assembled as runtime arrays",react.testlab.local,NT AUTHORITY\SYSTEM,Runtime LoadLibraryA+GetProcAddress resolves MiniDumpWriteDump from dbghelp.dll
Step 3 - Credential Access: LSASS Reflection Dump,Defense Evasion,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,"wdhelper.exe on disk carries VS_VERSION_INFO claiming Windows Diagnostic Helper origin (v10.0.19041.1) — Microsoft-branded metadata combined with unsigned binary, detectable via YARA/PE analysis on react.testlab.local",Calibrated - Not Benign,-,Low,"ReflectDump staged as `wdhelper.exe` and stamped with neutral diagnostic-tool PE metadata via `ReflectDump.rc` (defeats the ""fresh PE with empty `VS_VERSION_INFO`"" heuristic); dump written as `DFxxxx.tmp` under `%TEMP%` via `GetTempFileNameW(L""DF"")` to blend with legitimate temp artefacts and randomise the path per run",react.testlab.local,NT AUTHORITY\SYSTEM,wdhelper.exe stamped with Windows Diagnostic Helper VS_VERSION_INFO metadata
Step 3 - Credential Access: LSASS Reflection Dump,Exfiltration,T1030,Data Transfer Size Limits,Windows,"node.exe (IIS APPPOOL\react.testlab.local) transmits C:\Windows\Temp\DFxxxx.tmp in multiple 8,192-byte HTTP POST responses on react.testlab.local",Not Calibrated - Not Benign,redundant@T1041,Low,"react2shell `download` command exfiltrates the randomised temp dump file as base64 in 8,192-byte chunks over successive HTTP responses",react.testlab.local,IIS APPPOOL\react.testlab.local,Exfiltrate LSASS dump in 8192-byte base64 HTTP chunks
Step 3 - Credential Access: LSASS Reflection Dump,Exfiltration,T1041,Exfiltration Over C2 Channel,Windows,node.exe (IIS APPPOOL\react.testlab.local) reads C:\Windows\Temp\DFxxxx.tmp and streams ≈75 MB outbound over the react2shell HTTP channel on react.testlab.local,Calibrated - Not Benign,-,High,react2shell `download` exfiltrates the XOR-encrypted LSASS dump over the existing react2shell HTTP C2 channel established in Phase 1 Step 1; same channel carries all stage/rename/decompress operations in this phase — data volume distinguishes exfiltration from normal C2 command traffic,react.testlab.local,IIS APPPOOL\react.testlab.local,Stream ~75 MB XOR-encrypted LSASS dump over react2shell HTTP C2 channel
Step 1 - Ingress Tool Transfer: Stage Payloads on IIS01,Command and Control,T1105,Ingress Tool Transfer,Windows,`node.exe` writes valid PE to `C:\ProgramData\CertEnrollAgent.bin` on react.testlab.local — IIS web process dropping an executable binary to `C:\ProgramData\`,Calibrated - Not Benign,-,High,`stage` streams Herpaderping loader PE via eval channel into `global.__stageBuffer`; flushes as `C:\ProgramData\CertEnrollAgent.bin` in one `Buffer.from` write — valid PE,react.testlab.local (10.12.10.20),IIS APPPOOL\react.testlab.local,Stage Herpaderping loader PE as CertEnrollAgent.bin to C:\ProgramData\
Step 1 - Ingress Tool Transfer: Stage Payloads on IIS01,Command and Control,T1105,Ingress Tool Transfer,Windows,`node.exe` writes valid PE to `C:\ProgramData\go-thehash.bin` on react.testlab.local — IIS web process staging a PtH toolkit binary to `C:\ProgramData\`,Not Calibrated - Not Benign,redundant@T1105,High,`stage` streams `go-thehash.exe` PE via eval channel into `global.__stageBuffer`; flushes as `C:\ProgramData\go-thehash.bin` in one `Buffer.from` write — valid PE,react.testlab.local (10.12.10.20),IIS APPPOOL\react.testlab.local,Stage go-thehash.exe PtH toolkit as go-thehash.bin to C:\ProgramData\
Step 1 - Ingress Tool Transfer: Stage Payloads on IIS01,Command and Control,T1105,Ingress Tool Transfer,Windows,`node.exe` writes valid PE to `C:\ProgramData\ServiceInstaller.bin` on react.testlab.local — IIS web process staging an SCM service installer binary to `C:\ProgramData\`,Not Calibrated - Not Benign,redundant@T1105,Medium,`stage` streams `ServiceInstaller.exe` PE via eval channel into `global.__stageBuffer`; flushes as `C:\ProgramData\ServiceInstaller.bin` in one `Buffer.from` write — valid PE,react.testlab.local (10.12.10.20),IIS APPPOOL\react.testlab.local,Stage ServiceInstaller.exe as ServiceInstaller.bin to C:\ProgramData\
Step 1 - Ingress Tool Transfer: Stage Payloads on IIS01,Command and Control,T1105,Ingress Tool Transfer,Windows,`node.exe` writes valid PE to `C:\ProgramData\NtServiceInstaller.bin` on react.testlab.local — IIS web process staging an NT-native service installer binary to `C:\ProgramData\`,Not Calibrated - Not Benign,redundant@T1105,Medium,`stage` streams `NtServiceInstaller.exe` PE via eval channel into `global.__stageBuffer`; flushes as `C:\ProgramData\NtServiceInstaller.bin` in one `Buffer.from` write — valid PE,react.testlab.local (10.12.10.20),IIS APPPOOL\react.testlab.local,Stage NtServiceInstaller.exe as NtServiceInstaller.bin to C:\ProgramData\
Step 1 - Ingress Tool Transfer: Stage Payloads on IIS01,Command and Control,T1105,Ingress Tool Transfer,Windows,`node.exe` writes valid PE to `C:\ProgramData\policyupdate.bin` on react.testlab.local — IIS web process staging a dnscat2 C2 binary to `C:\ProgramData\`,Not Calibrated - Not Benign,redundant@T1105,High,`stage` streams dnscat2 PE (as `policyupdate`) via eval channel into `global.__stageBuffer`; flushes as `C:\ProgramData\policyupdate.bin` in one `Buffer.from` write — valid PE,react.testlab.local (10.12.10.20),IIS APPPOOL\react.testlab.local,Stage dnscat2 PE as policyupdate.bin to C:\ProgramData\
Step 1 - Ingress Tool Transfer: Stage Payloads on IIS01,Command and Control,T1105,Ingress Tool Transfer,Windows,`node.exe` writes valid PE to `C:\ProgramData\policysync.bin` on react.testlab.local — IIS web process staging a dnscat2 C2 binary to `C:\ProgramData\`,Not Calibrated - Not Benign,redundant@T1105,Medium,`stage` streams dnscat2 PE (as `policysync`) via eval channel into `global.__stageBuffer`; flushes as `C:\ProgramData\policysync.bin` in one `Buffer.from` write — valid PE,react.testlab.local (10.12.10.20),IIS APPPOOL\react.testlab.local,Stage dnscat2 PE as policysync.bin to C:\ProgramData\
Step 2 - Lateral Movement & C2 Execution: Pass-the-Hash to WMI with go-thehash on DC01,Lateral Movement,T1550.002,Use Alternate Authentication Material: Pass the Hash,Windows,"`TESTLAB\Administrator` performs Logon Type 3 (NTLM, `LogonProcessName: NtLmSsp`) to DC01 from `10.12.10.20` (IIS01) — Security Event 4624 on DC01; NTLM lateral authentication from web-tier host to domain controller",Calibrated - Not Benign,-,Critical,`go-thehash.exe` authenticates to DC01 via raw NT hash; implementation details are covered in [go-thehash.md](../further-reading/go-thehash.md),react.testlab.local → DC01,TESTLAB\Administrator,go-thehash.exe authenticates to DC01 via raw NT hash (Logon Type 3 NTLM)
Step 2 - Lateral Movement & C2 Execution: Pass-the-Hash to WMI with go-thehash on DC01,Lateral Movement,T1021.002,Remote Services: SMB/Windows Admin Shares,Windows,`TESTLAB\Administrator` accesses `\\DC01\C$` from `10.12.10.20` (IIS01) — Security Event 5140 on DC01; web-tier host opening admin share on domain controller,Not Calibrated - Not Benign,redundant@T1570,Medium,`go-thehash.exe put` uses an authenticated SMB2 session to reach the `C$` admin share; implementation details are covered in [go-thehash.md](../further-reading/go-thehash.md),react.testlab.local → DC01,TESTLAB\Administrator,go-thehash.exe accesses \\DC01\C$ admin share using PtH session
Step 2 - Lateral Movement & C2 Execution: Pass-the-Hash to WMI with go-thehash on DC01,Lateral Movement,T1570,Lateral Tool Transfer,Windows,`C:\ProgramData\CertEnrollAgent.exe` (valid PE) created on DC01 (`Image: System`) — Sysmon Event 11; PE binary staged to domain controller `C:\ProgramData\` by remote SMB session (source host attributed via correlated Security Event 5145/5140),Calibrated - Not Benign,-,High,`go-thehash.exe put` moves the dnscat2 payload and Herpaderping loader from IIS01 to DC01; file-transfer details are covered in [go-thehash.md](../further-reading/go-thehash.md),react.testlab.local → DC01,TESTLAB\Administrator,go-thehash.exe transfers CertEnrollAgent.exe to DC01 C:\ProgramData\ via SMB C$
Step 2 - Lateral Movement & C2 Execution: Pass-the-Hash to WMI with go-thehash on DC01,Lateral Movement,T1021.003,Remote Services: Distributed Component Object Model,Windows,`go-thehash.exe` on IIS01 opens an outbound DCOM connection to DC01 (`10.12.10.10`) port 135 — Sysmon Event 3 on IIS01; web-tier process initiating endpoint-mapper session to domain controller,Calibrated - Not Benign,-,High,"`go-thehash.exe exec-wmi` calls `msdcom.NewDCOMConnection()` — a separate DCOM session independent of the SMB session used for file transfer; this is the transport layer for WMI execution and provides an earlier, independent detection opportunity before `wmiprvse.exe` spawns the payload; implementation details are covered in [go-thehash.md](../further-reading/go-thehash.md)",IIS01 → DC01,TESTLAB\Administrator,go-thehash.exe opens DCOM connection to DC01 port 135 for WMI execution
Step 2 - Lateral Movement & C2 Execution: Pass-the-Hash to WMI with go-thehash on DC01,Execution,T1047,Windows Management Instrumentation,Windows,`wmiprvse.exe` spawns `C:\ProgramData\CertEnrollAgent.exe` on DC01 as `TESTLAB\Administrator` — Sysmon Event 1 on DC01; WMI process creation from a non-standard binary path,Calibrated - Not Benign,-,Critical,Path A execution: `go-thehash.exe` calls the WMI COM interface to spawn a remote process on DC01 in the context of the authenticated domain admin account; implementation details are covered in [go-thehash.md](../further-reading/go-thehash.md),DC01,TESTLAB\Administrator,wmiprvse.exe spawns CertEnrollAgent.exe on DC01 as TESTLAB\Administrator
Step 3 - Pre-Persistence Payload Staging on DC01,Lateral Movement,T1550.002,Use Alternate Authentication Material: Pass the Hash,Windows,"Security Event 4624 on DC01 — Logon Type 3, `LogonProcessName: NtLmSsp`, source IP `10.12.10.20` (IIS01) as `TESTLAB\Administrator`; NTLM network logon from a web-application host to the domain controller under a Domain Admin account",Calibrated - Not Benign,,High,"`go-thehash.exe put` authenticates to DC01 using the Administrator NT hash, bypassing the password requirement to open the C$ admin share",IIS01/react.testlab.local → DC01,TESTLAB\Administrator,go-thehash.exe authenticates to DC01 via PtH for second payload staging round
Step 3 - Pre-Persistence Payload Staging on DC01,Lateral Movement,T1021.002,Remote Services: SMB/Windows Admin Shares,Windows,Security Event 5140 on DC01 — `C$` admin share accessed from source IP `10.12.10.20` (IIS01) as `TESTLAB\Administrator`; inbound admin-share connection from a web-application host to the domain controller,Not Calibrated - Not Benign,,Medium,"`go-thehash.exe put` opens an SMB2 tree to `\\DC01\C$`, using the PtH session to access the admin share for payload staging",IIS01/react.testlab.local → DC01,TESTLAB\Administrator,go-thehash.exe accesses DC01 C$ admin share for persistence payload staging
Step 3 - Pre-Persistence Payload Staging on DC01,Lateral Movement,T1570,Lateral Tool Transfer,Windows,"Sysmon Event 11 on DC01 — `policyupdate.exe`, `policysync.exe`, `ServiceInstaller.exe`, and `NtServiceInstaller.exe` created under `C:\ProgramData\` with `Image = System (PID 4)`; remote-write indicator marking attacker payloads staged to the domain controller via SMB admin share, not via a local installer process",Calibrated - Not Benign,,High,`go-thehash.exe put` writes four persistence binaries into DC01's `C:\ProgramData\` over the C$ admin share,IIS01/react.testlab.local → DC01,TESTLAB\Administrator,go-thehash.exe writes four persistence binaries to DC01 C:\ProgramData\ via SMB C$
Step 4 - Persistence: Domain Backdoor Account,Persistence,T1136.002,Create Account: Domain Account,Windows,Security Event 4720 on DC01 — new domain account `svcbackup` created by `TESTLAB\Administrator`,Calibrated - Not Benign,,High,`net.exe user svcbackup /add /domain` creates a backdoor domain account on DC01,DC01,TESTLAB\Administrator,net user svcbackup /add /domain creates backdoor domain account on DC01
Step 4 - Persistence: Domain Backdoor Account,Persistence,T1098.007,Account Manipulation: Additional Local or Domain Groups,Windows,Security Event 4728 on DC01 — `svcbackup` added to `Domain Admins` security group by `TESTLAB\Administrator`,Calibrated - Not Benign,,High,"`net.exe group ""Domain Admins"" svcbackup /add /domain` escalates the backdoor account to Domain Admin on DC01",DC01,TESTLAB\Administrator,net group 'Domain Admins' svcbackup /add escalates backdoor account to DA
Step 4 - Persistence: Domain Backdoor Account,Persistence,T1078.002,Valid Accounts: Domain Accounts,Windows,N/A — C1: svcbackup does not authenticate during this step; account establishment is captured by T1136.002 (Event 4720) and T1098.007 (Event 4728),Not Calibrated - Not Benign,,Low,"Backdoor domain account `svcbackup` with Domain Admin membership enables credential-based re-entry via SMB, WinRM, or RDP from any network-connected host",DC01,TESTLAB\Administrator (creator),svcbackup domain admin account enables credential-based re-entry
Step 4 - Persistence: Domain Backdoor Account,Defense Evasion,T1564.002,Hide Artifacts: Hidden Users,Windows,`reg.exe` writes REG_DWORD value `svcbackup=0` under `HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList` on DC01 (Sysmon Event 13),Calibrated - Not Benign,,Low,"`reg.exe` writes `svcbackup=0` under `HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\SpecialAccounts\UserList` on DC01, hiding the backdoor account from the logon screen",DC01,TESTLAB\Administrator,reg.exe writes svcbackup=0 to SpecialAccounts\UserList to hide from logon screen
Step 5 - Persistence: WMI Permanent Event Subscription,Execution,T1059.001,Command and Scripting Interpreter: PowerShell,Windows,"`powershell.exe` runs `Set-WmiInstance` commands creating `CertPolicyFilter`, `CertPolicyConsumer`, and `__FilterToConsumerBinding` in `root\subscription` on DC01 (Script Block Log Event ID 4104)",Not Calibrated - Not Benign,,Low,"`powershell.exe` invokes `Set-WmiInstance` to create timer-triggered WMI subscription objects in `root\subscription` on DC01, with `CertPolicyConsumer` pointing to `C:\ProgramData\policyupdate.exe`",DC01,TESTLAB\Administrator,"powershell.exe creates CertPolicyFilter, CertPolicyConsumer, FilterToConsumerBinding via Set-WmiInstance"
Step 5 - Persistence: WMI Permanent Event Subscription,Persistence,T1546.003,Event Triggered Execution: Windows Management Instrumentation Event Subscription,Windows,`wmiprvse.exe` records `__FilterToConsumerBinding` binding `CertPolicyFilter` to `CertPolicyConsumer` in `root\subscription` on DC01 (WMI Activity Event ID 5861),Calibrated - Not Benign,,High,WMI permanent event subscription created: `CertPolicyConsumer` executes `C:\ProgramData\policyupdate.exe` when the 60-second `CertPolicyTimer` fires; `wmiprvse.exe` spawns `policyupdate.exe` directly as SYSTEM,DC01,TESTLAB\Administrator (creator) / NT AUTHORITY\SYSTEM (runtime),WMI permanent subscription: CertPolicyConsumer fires policyupdate.exe every 60s as SYSTEM
Step 5 - Persistence: WMI Permanent Event Subscription,Defense Evasion,T1036.005,Masquerading: Match Legitimate Resource Name or Location,Windows,WMI `__EventFilter` object named `CertPolicyFilter` and `CommandLineEventConsumer` named `CertPolicyConsumer` in `root\subscription` namespace; Event ID 5861 shows consumer name `CertPolicyConsumer`,Not Calibrated - Not Benign,,Low,WMI subscription objects named `CertPolicyFilter` and `CertPolicyConsumer` to blend with Windows certificate-policy infrastructure,DC01,TESTLAB\Administrator,WMI subscription objects named CertPolicyFilter/Consumer to mimic cert-policy infrastructure
Step 6 - Persistence & Lateral Movement: Network Logon Script,Lateral Movement,T1570,Lateral Tool Transfer,Windows,`cmd.exe` (`copy`) creates `update.exe` in `C:\Windows\SYSVOL\sysvol\testlab.local\scripts\` on DC01 (Sysmon Event 11),Calibrated - Not Benign,,High,`cmd.exe copy` places `policyupdate.exe` into the SYSVOL scripts folder as `update.exe` on DC01; DFS-R replication makes it available as `\\testlab.local\SYSVOL\testlab.local\scripts\update.exe` from all domain controllers,DC01,TESTLAB\Administrator,cmd.exe copy places policyupdate.exe as update.exe in SYSVOL scripts folder
Step 6 - Persistence & Lateral Movement: Network Logon Script,Defense Evasion,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification,Windows,`powershell.exe` creates or modifies `scripts.ini` with `0CmdLine=\\testlab.local\SYSVOL\testlab.local\scripts\update.exe` under `C:\Windows\SYSVOL\sysvol\testlab.local\Policies\{31B2F340-016D-11D2-945F-00C04FB984F9}\User\Scripts\` on DC01 (Sysmon Event 11),Calibrated - Not Benign,,High,"`powershell.exe` writes `scripts.ini` into the Default Domain Policy SYSVOL path on DC01, registering `\\testlab.local\SYSVOL\testlab.local\scripts\update.exe` as the domain logon script",DC01,TESTLAB\Administrator,powershell.exe writes scripts.ini registering update.exe as domain logon script
Step 6 - Persistence & Lateral Movement: Network Logon Script,Persistence,T1037.003,Boot or Logon Initialization Scripts: Network Logon Script,Windows,"On WS01: `userinit.exe` spawns `update.exe` (resolved from `\\testlab.local\SYSVOL\testlab.local\scripts\update.exe`) during domain user logon (Sysmon Event 1: `ParentImage = C:\Windows\System32\userinit.exe`, `Image = update.exe`)",Calibrated - Not Benign,,High,`userinit.exe` reads `scripts.ini` and spawns `update.exe` (dnscat2) in the logged-on domain user's session on WS01 on next domain logon,WS01,TESTLAB\<domain user>,userinit.exe spawns update.exe (dnscat2) on domain user logon via scripts.ini
Step 7 - Service Creation: Registry-Backed Windows Service Persistence,Persistence,T1543.003,Create or Modify System Process: Windows Service,Windows,"`NtServiceInstaller.exe` creates registry key `HKLM\SYSTEM\CurrentControlSet\Services\CertPolicyCache` on DC01 with `ImagePath = C:\ProgramData\policysync.exe`, `Start = 2`, `Type = 16`, and `ObjectName = LocalSystem`; Sysmon Event IDs 12/13 record service key and value creation",Calibrated - Not Benign,,High,`NtServiceInstaller.exe install` creates an auto-start service by writing the service configuration directly to the Services registry hive; the persistent service definition is independently verifiable even when System Event ID 7045 is absent,DC01,TESTLAB\Administrator,NtServiceInstaller.exe writes CertPolicyCache service registry key via NT native APIs
Step 7 - Service Creation: Registry-Backed Windows Service Persistence,Defense Evasion,T1036.004,Masquerading: Masquerade Task or Service,Windows,"`NtServiceInstaller.exe` creates service key `CertPolicyCache` with `DisplayName = Certificate Policy Cache` and `Description = Caches certificate policy metadata`, making the registry-backed service appear consistent with legitimate certificate-policy infrastructure",Not Calibrated - Not Benign,,Low,"The service name, display name, and description are chosen to disguise the malicious service as a benign certificate-policy component; this is an evasion attribute of the same registry-backed service object already scored under `T1543.003`",DC01,TESTLAB\Administrator,Service named CertPolicyCache/Certificate Policy Cache to mimic cert infrastructure
Step 7 - Service Creation: Registry-Backed Windows Service Persistence,Execution,T1106,Native API,Windows,"`NtServiceInstaller.exe` resolves `NtOpenKey`, `NtCreateKey`, and `NtSetValueKey` directly from `ntdll.dll` via `GetProcAddress` and calls them to create and populate `HKLM\SYSTEM\CurrentControlSet\Services\CertPolicyCache` on DC01, bypassing `advapi32.dll` API hooks and producing no `CreateServiceW` call",Calibrated - Not Benign,,Medium,"`NtServiceInstaller.exe install` uses dynamic ntdll.dll resolution (`GetProcAddress`) to invoke NT native registry APIs, intentionally avoiding advapi32.dll hooks; this requires API-call–level monitoring (ETW kernel callbacks) to detect, a different telemetry depth than the Sysmon 12/13 registry-object events that capture T1543.003",DC01,TESTLAB\Administrator,NtServiceInstaller.exe resolves NtOpenKey/NtCreateKey/NtSetValueKey via GetProcAddress
Step 7 - Service Creation: Registry-Backed Windows Service Persistence,Defense Evasion,T1112,Modify Registry,Windows,"Registry values under `HKLM\SYSTEM\CurrentControlSet\Services\CertPolicyCache` are created or modified: `Type`, `Start`, `ErrorControl`, `ImagePath`, `DisplayName`, and `ObjectName`",Not Calibrated - Not Benign,,Low,Registry modification is the mechanism used to create the Windows service; this would double-count the same persistent service artifact already represented by T1543.003,DC01,TESTLAB\Administrator,Registry values under CertPolicyCache service key created via NT native APIs
Step 7B - Service Creation: API-Based Windows Service Persistence,Persistence,T1543.003,Create or Modify System Process: Windows Service,Windows,`ServiceInstaller.exe` creates Windows service `CertPolicyHost` on DC01 with `ImagePath = C:\ProgramData\policysync.exe`; System Event ID 7045 records the service install; service key exists at `HKLM\SYSTEM\CurrentControlSet\Services\CertPolicyHost` with `Start = 2` and `ObjectName = LocalSystem`,Calibrated - Not Benign,,High,`ServiceInstaller.exe install` calls SCM APIs directly to create an auto-start service for `policysync.exe`; the persistent service object is independently verifiable through Event ID 7045 and the service registry key,DC01,TESTLAB\Administrator,ServiceInstaller.exe creates CertPolicyHost auto-start service via SCM APIs
Step 7B - Service Creation: API-Based Windows Service Persistence,Defense Evasion,T1036.004,Masquerading: Masquerade Task or Service,Windows,"`ServiceInstaller.exe` creates service name `CertPolicyHost` with display name `Certificate Policy Host` and description `Maintains certificate policy synchronization`, causing the malicious service object to resemble a benign certificate-policy component",Not Calibrated - Not Benign,,Low,"The service name, display name, and description are chosen to blend with legitimate Windows certificate-policy infrastructure; this is an evasion attribute of the same service object already scored under `T1543.003`, not a separate persistence outcome",DC01,TESTLAB\Administrator,Service named CertPolicyHost/Certificate Policy Host to blend with cert infrastructure
Step 7B - Service Creation: API-Based Windows Service Persistence,Execution,T1569.002,System Services: Service Execution,Windows,`services.exe` starts `C:\ProgramData\policysync.exe` as service `CertPolicyHost`; System Event ID 7036 records service running state,Not Calibrated - Not Benign,,Low,Start substep: `ServiceInstaller.exe start CertPolicyHost` triggers SCM to launch the already-created persistence service; execution confirms the service works but the scored behavior is the persistent service creation in T1543.003,DC01,NT AUTHORITY\SYSTEM,SCM starts policysync.exe as CertPolicyHost service (Event 7036)
"Step 1 - DC Credential Material, Archive & Encryption",Command and Control,T1105,Ingress Tool Transfer,Windows,`node.exe` on IIS01 writes a PE binary to `C:\Windows\Temp\` (Sysmon Event 11) and renames it from `.bin` to `.exe` in-process (Sysmon Event 2) — a Node.js web process creating an executable in Temp with no child process spawn for the rename is intrinsically anomalous,Not Calibrated - Not Benign,transport,High,"react2shell `stage` streams `PolicySyncSvc.exe` in 2000-char base64 chunks via HTTP eval channel into `global.__stageBuffer` and flushes as `PolicySyncSvc.bin`; `rename` promotes it to `.exe` via in-process `fs.renameSync` — no `.b64` disk artifact, no spawn",IIS01 (10.12.10.20),IIS APPPOOL\react.testlab.local,Stage PolicySyncSvc.exe as PolicySyncSvc.bin on IIS01 via eval channel
"Step 1 - DC Credential Material, Archive & Encryption",Lateral Movement,T1570,Lateral Tool Transfer,Windows,Sysmon Event 1 on DC01: `cmd.exe` spawned by `RuntimeBroker.exe` ghost with command line referencing `\\IIS01\C$\` as source UNC path; Sysmon Event 11 on DC01: PE binary written to `C:\ProgramData\` — DC01 shell pulling an executable from a workstation's C$ admin share is anomalous for any legitimate DC administrative workflow,Calibrated - Not Benign,-,High,DC01 dnscat2 shell (`RuntimeBroker.exe` ghost) copies `PolicySyncSvc.exe` from `\\IIS01\C$\Windows\Temp\` to `C:\ProgramData\` using the PtH Logon Type 3 `TESTLAB\Administrator` token — tool moves laterally from the initial staging host to the DC,DC01 (10.12.10.10) ← IIS01 (10.12.10.20),TESTLAB\Administrator,DC01 dnscat2 shell copies PolicySyncSvc.exe from IIS01 C$ to C:\ProgramData\
